,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Dcun1d3,0.267503432553611,-0.609633624255962,0.038,0.048,1
Gtf2f2,0.267964303265233,-0.249541845271609,0.173,0.188,1
Plrg1,0.268089740512101,0.23771286355288,0.079,0.066,1
Fundc2,0.268128729204403,0.159601794322424,0.383,0.359,1
Ston1,0.268136232442283,-0.717555201094084,0.019,0.026,1
Mcrip2,0.2683818119934,0.263722227792246,0.046,0.036,1
Siah1a,0.268382713909635,-0.428943471697719,0.085,0.097,1
Kdelc2,0.268477430652184,0.152179001721333,0.057,0.046,1
Slc4a1ap,0.26849970353783,0.153465027898684,0.06,0.049,1
Arfip2,0.268518433520204,0.194399216606444,0.057,0.046,1
Sfswap,0.268602120345968,-0.206158528693768,0.157,0.174,1
Dhrs4,0.268670223074726,0.124797675550926,0.154,0.136,1
Czib,0.268697199665264,0.144815395379509,0.138,0.12,1
Immt,0.268715818462165,0.0139162956052046,0.258,0.23,1
Anapc1,0.268757384802528,0.115902409068494,0.121,0.104,1
Lsm2,0.26888023957244,0.0124388317674202,0.146,0.124,1
Suclg2,0.269085037329927,-0.157691053910197,0.145,0.161,1
Gm9774,0.269304077466536,-0.813073257720051,0.01,0.016,1
Tcn2,0.269448860410625,0.0439919188866358,0.331,0.303,1
Emd,0.269461241981453,-0.167613663539359,0.407,0.415,1
Brd7,0.269599036378049,0.100343748910313,0.208,0.184,1
Amigo1,0.269777289375994,-0.860634896607872,0.01,0.016,1
Gtpbp3,0.269835117753561,-0.747064735451057,0.023,0.031,1
Plppr4,0.2698593874616,-0.491113671994372,0.029,0.038,1
Snrnp40,0.26988782034776,0.216433340022399,0.154,0.134,1
Tfpi,0.269956218570436,-0.72465930877609,0.041,0.051,1
Cd3eap,0.27035829312313,0.282520453419921,0.04,0.031,1
Dennd4b,0.270580249108396,0.06787969120737,0.17,0.149,1
Atxn2,0.270630022269335,0.159416759494272,0.218,0.193,1
Slc35f6,0.270682732472105,0.0504001235171911,0.212,0.188,1
Slc12a6,0.270716971687709,0.115009750226985,0.208,0.185,1
Get4,0.270752725261735,0.114217088483465,0.092,0.077,1
Mecr,0.270767050764649,0.211548007541868,0.109,0.094,1
Skp1a,0.270809714085193,-0.17689718296274,0.273,0.285,1
Lsr,0.271144617368893,-0.303103649900468,0.095,0.109,1
Cltc,0.271153097900533,0.12941881275515,0.81,0.793,1
Mta3,0.271184959981801,0.197175400629575,0.269,0.242,1
Wrb,0.271406515159143,0.140497730147958,0.021,0.015,1
Polk,0.271485902430879,-0.0789317994819809,0.048,0.038,1
Syce2,0.271528571113054,0.00597701429588948,0.113,0.095,1
Zc3h11a,0.271554774593429,0.529095624143851,0.02,0.014,1
Slc25a40,0.271812276869975,0.567379015416091,0.027,0.02,1
Vapa,0.27184268013968,0.0894684553924011,0.589,0.559,1
Lonp1,0.271947600479961,0.295328739790549,0.131,0.115,1
Ptk2b,0.272057354475867,0.272996131016844,0.43,0.407,1
Bag4,0.272090599089883,0.540240816591557,0.033,0.025,1
Dynlt1f,0.272261368120452,0.293573996373267,0.148,0.131,1
Ireb2,0.272343086913137,0.120023553130453,0.138,0.121,1
Atxn3,0.272358091164068,0.080954982816114,0.163,0.143,1
1700016D06Rik,0.272443100399239,0.359078462048548,0.028,0.02,1
Lhpp,0.272508375853278,0.200127794022561,0.056,0.045,1
AB124611,0.272707328026226,0.144008126284428,0.327,0.301,1
Gm14410,0.272825295513479,-0.523257801782602,0.013,0.02,1
Tmem178b,0.272848459471153,-0.466775345834499,0.025,0.033,1
Als2,0.273039609813702,0.0473561484994929,0.078,0.065,1
